S	SGEHEAPRUNMARKER	20	game
F	4	4	Notify
F	8	120	Reserved00
F	128	4	SetContextDmaNotifies
F	132	4	SetContextDmaImage
F	136	4	SetContextPattern
F	140	4	SetContextRop
F	144	4	SetContextBeta1
F	148	4	SetContextBeta4
F	152	4	SetContextSurface
F	156	356	Reserved01
F	512	4	SetColorFormat
F	516	4	SetOperation
F	520	4	ClipPoint
F	524	4	ClipSize
F	528	4	ImageOutPoint
F	532	4	ImageOutSize
F	536	4	DeltaDuDx
F	540	4	DeltaDvDy
F	544	224	Reserved02
F	768	4	ImageInSize
F	772	4	ImageInFormat
F	776	4	ImageInOffset
F	780	4	ImageInPoint
F	784	7152	Reserved03
S	NVDE_REGISTER_DEBUGGER_PARAMETERS	4	misc
F	0	4	TrapEvent
S	Nv0A0Typedef	7936	misc
F	0	7936	Reserved00
S	Nv044Typedef	7936	misc
F	0	4	NoOperation
F	4	4	Notify
F	8	120	Reserved00
F	128	4	SetContextDmaNotifies
F	132	380	Reserved01
F	512	4	SetColorFormat
F	516	4	SetMonochromeFormat
F	520	4	SetMonochromeShape
F	524	4	SetPatternSelect
F	528	4	SetMonochromeColor0
F	532	4	SetMonochromeColor1
F	536	4	SetMonochromePattern0
F	540	4	SetMonochromePattern1
F	544	224	Reserved02
F	768	64	SetPatternY8
F	832	192	Reserved03
F	1024	128	SetPatternR5G6B5
F	1152	128	Reserved04
F	1280	128	SetPatternX1R5G5B5
F	1408	128	Reserved05
F	1536	256	SetPatternX8R8G8B8
F	1792	6144	Reserved06
S	Nv062Typedef	7936	misc
F	0	4	NoOperation
F	4	4	Notify
F	8	120	Reserved00
F	128	4	SetContextDmaNotifies
F	132	4	SetContextDmaImageSource
F	136	4	SetContextDmaImageDestin
F	140	372	Reserved01
F	512	4	SetColorFormat
F	516	4	SetPitch
F	520	4	SetOffsetSource
F	524	4	SetOffsetDestin
F	528	7408	Reserved02
S	NvV64	8	misc
F	0	4	low
F	4	4	high
S	Nv076Typedef	7936	misc
F	0	4	NoOperation
F	4	4	Notify
F	8	120	Reserved00
F	128	4	SetContextDmaNotifies
F	132	4	SetContextColorKey
F	136	4	SetContextPattern
F	140	4	SetContextRop
F	144	4	SetContextBeta1
F	148	4	SetContextBeta4
F	152	4	SetContextSurface
F	156	352	Reserved01
F	508	4	SetOperation
F	512	4	SetColorFormat
F	516	4	SizeIn
F	520	4	DeltaDxDu
F	524	4	DeltaDyDv
F	528	4	ClipPoint
F	532	4	ClipSize
F	536	4	Point12d4
F	540	228	Reserved02
F	768	7168	Color
S	Nv081Typedef	7936	misc
F	0	7936	Reserved00
S	__unnamed_1566	128	misc
F	0	4	size
F	4	124	monochrome
S	Nv12CelsiusPrimitive	8192	misc
F	0	4	ctx_Switch
F	4	252	Reserved00
F	256	4	NoOperation
F	260	4	Notify
F	264	4	SetWarningEnable
F	268	4	GetState
F	272	4	WaitForIdle
F	276	12	Reserved01
F	288	4	SyncSetRead
F	292	4	SyncSetWrite
F	296	4	SyncSetModulo
F	300	4	SyncIncrementWrite
F	304	4	SyncStall
F	308	12	Reserved17
F	320	4	PmTrigger
F	324	60	Reserved02
F	384	4	SetContextDmaNotifies
F	388	4	SetContextDmaA
F	392	4	SetContextDmaB
F	396	4	SetContextDmaVertex
F	400	4	SetContextDmaState
F	404	4	SetContextDmaColor
F	408	4	SetContextDmaZeta
F	412	100	Reserved03
F	512	4	SetSurfaceClipHorizontal
F	516	4	SetSurfaceClipVertical
F	520	4	SetSurfaceFormat
F	524	4	SetSurfacePitch
F	528	4	SetSurfaceColorOffset
F	532	4	SetSurfaceZetaOffset
F	536	8	SetTextureOffset
F	544	8	SetTextureFormat
F	552	8	SetTextureControl0
F	560	8	SetTextureControl1
F	568	8	SetTextureControl2
F	576	8	SetTextureImageRect
F	584	8	SetTextureFilter
F	592	8	SetTexturePalette
F	600	8	Reserved04
F	608	8	SetCombinerAlphaICW
F	616	8	SetCombinerColorICW
F	624	8	SetCombineFactor
F	632	8	SetCombinerAlphaOCW
F	640	4	SetCombiner0ColorOCW
F	644	4	SetCombiner1ColorOCW
F	648	4	SetCombinerSpecularFogCW0
F	652	4	SetCombinerSpecularFogCW1
F	656	4	SetControl0
F	660	4	SetLightControl
F	664	4	SetColorMaterial
F	668	4	SetFogMode
F	672	4	SetFogGenMode
F	676	4	SetFogEnable
F	680	4	SetFogColor
F	684	8	SetColorKeyColor
F	692	4	SetWindowClipType
F	696	8	Reserved05
F	704	32	SetWindowClipHorizontal
F	736	32	SetWindowClipVertical
F	768	4	SetAlphaTestEnable
F	772	4	SetBlendEnable
F	776	4	SetCullFaceEnable
F	780	4	SetDepthTestEnable
F	784	4	SetDitherEnable
F	788	4	SetLightingEnable
F	792	4	SetPointParamsEnable
F	796	4	SetPointSmoothEnable
F	800	4	SetLineSmoothEnable
F	804	4	SetPolySmoothEnable
F	808	4	SetSkinEnable
F	812	4	SetStencilTestEnable
F	816	4	SetPolyOffsetPointEnable
F	820	4	SetPolyOffsetLineEnable
F	824	4	SetPolyOffsetFillEnable
F	828	4	SetAlphaFunc
F	832	4	SetAlphaRef
F	836	4	SetBlendFuncSfactor
F	840	4	SetBlendFuncDfactor
F	844	4	SetBlendColor
F	848	4	SetBlendEquation
F	852	4	SetDepthFunc
F	856	4	SetColorMask
F	860	4	SetDepthMask
F	864	4	SetStencilMask
F	868	4	SetStencilFunc
F	872	4	SetStencilFuncRef
F	876	4	SetStencilFuncMask
F	880	4	SetStencilOpFail
F	884	4	SetStencilOpZfail
F	888	4	SetStencilOpZpass
F	892	4	SetShadeMode
F	896	4	SetLineWidth
F	900	4	SetPolygonOffsetScaleFactor
F	904	4	SetPolygonOffsetBias
F	908	4	SetFrontPolygonMode
F	912	4	SetBackPolygonMode
F	916	4	SetClipMin
F	920	4	SetClipMax
F	924	4	SetCullFace
F	928	4	SetFrontFace
F	932	4	SetNormalizationEnable
F	936	12	SetMaterialEmission
F	948	4	SetMaterialAlpha
F	952	4	SetSpecularEnable
F	956	4	SetLightEnableMask
F	960	32	SetTexgen
F	992	4	SetTextureMatrix0Enable
F	996	4	SetTextureMatrix1Enable
F	1000	4	SetTLMode
F	1004	4	SetPointSize
F	1008	4	SetSwathWidth
F	1012	4	SetFlatShadeOp
F	1016	8	Reserved06
F	1024	64	SetModelViewMatrix0
F	1088	64	SetModelViewMatrix1
F	1152	64	SetInverseModelViewMatrix0
F	1216	64	SetInverseModelViewMatrix1
F	1280	64	SetCompositeMatrix
F	1344	64	SetTextureMatrix0
F	1408	64	SetTextureMatrix1
F	1472	64	Reserved07
F	1536	16	SetTexgenSPlane0
F	1552	16	SetTexgenTPlane0
F	1568	16	SetTexgenRPlane0
F	1584	16	SetTexgenQPlane0
F	1600	16	SetTexgenSPlane1
F	1616	16	SetTexgenTPlane1
F	1632	16	SetTexgenRPlane1
F	1648	16	SetTexgenQPlane1
F	1664	12	SetFogParams
F	1676	16	SetFogPlane
F	1692	4	Reserved08
F	1696	24	SetSpecularParams
F	1720	12	Reserved09
F	1732	12	SetSceneAmbientColor
F	1744	24	Reserved0a
F	1768	16	SetViewportOffset
F	1784	32	SetPointParams
F	1816	16	SetEyePosition
F	1832	4	Flush
F	1836	12	SetEyeDirectionSW
F	1848	200	Reserved0b
F	2048	1024	SetLight
F	3072	12	SetVertex3f
F	3084	12	Reserved0d
F	3096	16	SetVertex4f
F	3112	8	SetVertex4s
F	3120	12	SetNormal3f
F	3132	4	Reserved0e
F	3136	6	SetNormal3s
F	3142	10	Reserved0f
F	3152	16	SetDiffuseColor4f
F	3168	12	SetDiffuseColor3f
F	3180	4	SetDiffuseColor4ub
F	3184	16	SetSpecularColor4f
F	3200	12	SetSpecularColor3f
F	3212	4	SetSpecularColor4ub
F	3216	8	SetTexcoord0_2f
F	3224	4	SetTexcoord0_2s
F	3228	4	Reserved10
F	3232	16	SetTexcoord0_4f
F	3248	8	SetTexcoord0_4s
F	3256	8	SetTexcoord1_2f
F	3264	4	SetTexcoord1_2s
F	3268	4	Reserved11
F	3272	16	SetTexcoord1_4f
F	3288	8	SetTexcoord1_4s
F	3296	4	SetFog1f
F	3300	4	SetWeight1f
F	3304	4	Reserved12
F	3308	4	SetEdgeFlag
F	3312	4	InvalidateVertexCacheFile
F	3316	4	InvalidateVertexFile
F	3320	4	TlNop
F	3324	4	TlSync
F	3328	4	SetVertexArrayOffset
F	3332	4	SetVertexArrayFormat
F	3336	4	SetDiffuseArrayOffset
F	3340	4	SetDiffuseArrayFormat
F	3344	4	SetSpecularArrayOffset
F	3348	4	SetSpecularArrayFormat
F	3352	4	SetTexCoord0ArrayOffset
F	3356	4	SetTexCoord0ArrayFormat
F	3360	4	SetTexCoord1ArrayOffset
F	3364	4	SetTexCoord1ArrayFormat
F	3368	4	SetNormalArrayOffset
F	3372	4	SetNormalArrayFormat
F	3376	4	SetWeightArrayOffset
F	3380	4	SetWeightArrayFormat
F	3384	4	SetFogArrayOffset
F	3388	4	SetFogArrayFormat
F	3392	188	Reserved13
F	3580	4	SetBeginEnd
F	3584	512	ArrayElement16
F	4096	252	Reserved14
F	4348	4	SetBeginEnd2
F	4352	256	ArrayElement32
F	4608	508	Reserved15
F	5116	4	SetBeginEnd3
F	5120	512	DrawArrays
F	5632	40	DebugInit
F	5672	468	Reserved1628
F	6140	4	SetBeginEnd4
F	6144	2048	InlineArray
S	Nv11CelsiusPrimitive	8192	misc
F	0	4	ctx_Switch
F	4	252	Reserved0004
F	256	4	NoOperation
F	260	4	Notify
F	264	4	SetWarningEnable
F	268	4	GetState
F	272	4	WaitForIdle
F	276	12	Reserved0114
F	288	4	SetFlipRead
F	292	4	SetFlipWrite
F	296	4	SetFlipModulo
F	300	4	FlipIncrementWrite
F	304	4	FlipStall
F	308	12	Reserved0134
F	320	4	PmTrigger
F	324	60	Reserved0144
F	384	4	SetContextDmaNotifies
F	388	4	SetContextDmaA
F	392	4	SetContextDmaB
F	396	4	SetContextDmaVertex
F	400	4	SetContextDmaState
F	404	4	SetContextDmaColor
F	408	4	SetContextDmaZeta
F	412	100	Reserved019c
F	512	4	SetSurfaceClipHorizontal
F	516	4	SetSurfaceClipVertical
F	520	4	SetSurfaceFormat
F	524	4	SetSurfacePitch
F	528	4	SetSurfaceColorOffset
F	532	4	SetSurfaceZetaOffset
F	536	8	SetTextureOffset
F	544	8	SetTextureFormat
F	552	8	SetTextureControl0
F	560	8	SetTextureControl1
F	568	8	SetTextureControl2
F	576	8	SetTextureImageRect
F	584	8	SetTextureFilter
F	592	8	SetTexturePalette
F	600	8	Reserved0258
F	608	8	SetCombinerAlphaICW
F	616	8	SetCombinerColorICW
F	624	8	SetCombineFactor
F	632	8	SetCombinerAlphaOCW
F	640	4	SetCombiner0ColorOCW
F	644	4	SetCombiner1ColorOCW
F	648	4	SetCombinerSpecularFogCW0
F	652	4	SetCombinerSpecularFogCW1
F	656	4	SetControl0
F	660	4	SetLightControl
F	664	4	SetColorMaterial
F	668	4	SetFogMode
F	672	4	SetFogGenMode
F	676	4	SetFogEnable
F	680	4	SetFogColor
F	684	8	SetColorKeyColor
F	692	4	SetWindowClipType
F	696	8	Reserved02b8
F	704	32	SetWindowClipHorizontal
F	736	32	SetWindowClipVertical
F	768	4	SetAlphaTestEnable
F	772	4	SetBlendEnable
F	776	4	SetCullFaceEnable
F	780	4	SetDepthTestEnable
F	784	4	SetDitherEnable
F	788	4	SetLightingEnable
F	792	4	SetPointParamsEnable
F	796	4	SetPointSmoothEnable
F	800	4	SetLineSmoothEnable
F	804	4	SetPolySmoothEnable
F	808	4	SetSkinEnable
F	812	4	SetStencilTestEnable
F	816	4	SetPolyOffsetPointEnable
F	820	4	SetPolyOffsetLineEnable
F	824	4	SetPolyOffsetFillEnable
F	828	4	SetAlphaFunc
F	832	4	SetAlphaRef
F	836	4	SetBlendFuncSfactor
F	840	4	SetBlendFuncDfactor
F	844	4	SetBlendColor
F	848	4	SetBlendEquation
F	852	4	SetDepthFunc
F	856	4	SetColorMask
F	860	4	SetDepthMask
F	864	4	SetStencilMask
F	868	4	SetStencilFunc
F	872	4	SetStencilFuncRef
F	876	4	SetStencilFuncMask
F	880	4	SetStencilOpFail
F	884	4	SetStencilOpZfail
F	888	4	SetStencilOpZpass
F	892	4	SetShadeMode
F	896	4	SetLineWidth
F	900	4	SetPolygonOffsetScaleFactor
F	904	4	SetPolygonOffsetBias
F	908	4	SetFrontPolygonMode
F	912	4	SetBackPolygonMode
F	916	4	SetClipMin
F	920	4	SetClipMax
F	924	4	SetCullFace
F	928	4	SetFrontFace
F	932	4	SetNormalizationEnable
F	936	12	SetMaterialEmission
F	948	4	SetMaterialAlpha
F	952	4	SetSpecularEnable
F	956	4	SetLightEnableMask
F	960	32	SetTexgen
F	992	4	SetTextureMatrix0Enable
F	996	4	SetTextureMatrix1Enable
F	1000	4	SetTLMode
F	1004	4	SetPointSize
F	1008	4	SetSwathWidth
F	1012	4	SetFlatShadeOp
F	1016	8	Reserved03f8
F	1024	64	SetModelViewMatrix0
F	1088	64	SetModelViewMatrix1
F	1152	64	SetInverseModelViewMatrix0
F	1216	64	SetInverseModelViewMatrix1
F	1280	64	SetCompositeMatrix
F	1344	64	SetTextureMatrix0
F	1408	64	SetTextureMatrix1
F	1472	64	Reserved05c0
F	1536	16	SetTexgenSPlane0
F	1552	16	SetTexgenTPlane0
F	1568	16	SetTexgenRPlane0
F	1584	16	SetTexgenQPlane0
F	1600	16	SetTexgenSPlane1
F	1616	16	SetTexgenTPlane1
F	1632	16	SetTexgenRPlane1
F	1648	16	SetTexgenQPlane1
F	1664	12	SetFogParams
F	1676	16	SetFogPlane
F	1692	4	Reserved069c
F	1696	24	SetSpecularParams
F	1720	12	Reserved06b8
F	1732	12	SetSceneAmbientColor
F	1744	24	Reserved06d0
F	1768	16	SetViewportOffset
F	1784	32	SetPointParams
F	1816	16	SetEyePosition
F	1832	4	Flush
F	1836	12	SetEyeDirectionSW
F	1848	200	Reserved0738
F	2048	1024	SetLight
F	3072	12	SetVertex3f
F	3084	12	Reserved0c0c
F	3096	16	SetVertex4f
F	3112	8	SetVertex4s
F	3120	12	SetNormal3f
F	3132	4	Reserved0c3c
F	3136	8	SetNormal3s
F	3144	8	Reserved0c48
F	3152	16	SetDiffuseColor4f
F	3168	12	SetDiffuseColor3f
F	3180	4	SetDiffuseColor4ub
F	3184	16	SetSpecularColor4f
F	3200	12	SetSpecularColor3f
F	3212	4	SetSpecularColor4ub
F	3216	8	SetTexcoord0_2f
F	3224	4	SetTexcoord0_2s
F	3228	4	Reserved0c9c
F	3232	16	SetTexcoord0_4f
F	3248	8	SetTexcoord0_4s
F	3256	8	SetTexcoord1_2f
F	3264	4	SetTexcoord1_2s
F	3268	4	Reserved0cc4
F	3272	16	SetTexcoord1_4f
F	3288	8	SetTexcoord1_4s
F	3296	4	SetFog1f
F	3300	4	SetWeight1f
F	3304	4	Reserved0ce8
F	3308	4	SetEdgeFlag
F	3312	4	InvalidateVertexCacheFile
F	3316	4	InvalidateVertexFile
F	3320	4	TlNop
F	3324	4	TlSync
F	3328	4	SetVertexArrayOffset
F	3332	4	SetVertexArrayFormat
F	3336	4	SetDiffuseArrayOffset
F	3340	4	SetDiffuseArrayFormat
F	3344	4	SetSpecularArrayOffset
F	3348	4	SetSpecularArrayFormat
F	3352	4	SetTexCoord0ArrayOffset
F	3356	4	SetTexCoord0ArrayFormat
F	3360	4	SetTexCoord1ArrayOffset
F	3364	4	SetTexCoord1ArrayFormat
F	3368	4	SetNormalArrayOffset
F	3372	4	SetNormalArrayFormat
F	3376	4	SetWeightArrayOffset
F	3380	4	SetWeightArrayFormat
F	3384	4	SetFogArrayOffset
F	3388	4	SetFogArrayFormat
F	3392	4	SetLogicOpEnable
F	3396	4	SetLogicOp
F	3400	180	Reserved0d48
F	3580	4	SetBeginEnd
F	3584	512	ArrayElement16
F	4096	252	Reserved1000
F	4348	4	SetBeginEnd2
F	4352	256	ArrayElement32
F	4608	508	Reserved1200
F	5116	4	SetBeginEnd3
F	5120	512	DrawArrays
F	5632	40	DebugInit
F	5672	468	Reserved1628
F	6140	4	SetBeginEnd4
F	6144	2048	InlineArray
S	Nv046Typedef	7936	misc
F	0	4	NoOperation
F	4	4	Notify
F	8	8	StopImage
F	16	8	StopLut
F	24	8	StopCursorImage
F	32	8	StopDac
F	40	88	Reserved00
F	128	4	SetContextDmaNotifies
F	132	8	SetContextDmaImage
F	140	8	SetContextDmaLut
F	148	8	SetContextDmaCursor
F	156	352	Reserved01
F	508	4	GetOffset
F	512	16	SetImage
F	528	16	SetLut
F	544	16	SetCursorImage
F	560	4	SetCursorPoint
F	564	12	Reserved03
F	576	64	SetDac
F	640	7296	Reserved04
S	Nvff8Typedef	7936	misc
F	0	4	NoOperation
F	4	4	Notify
F	8	4	StopTransfer
F	12	4	SetPatch
F	16	112	Reserved00
F	128	4	SetContextDmaNotifies
F	132	8	SetContextDmaImage
F	140	116	Reserved01
F	256	4	SetVideoOutput
F	260	252	Reserved02
F	512	40	ImageScan
F	552	8	GetOffsetNotify
F	560	7376	Reserved03
S	Nvff9Typedef	7936	misc
F	0	4	NoOperation
F	4	4	Notify
F	8	120	Reserved00
F	128	4	SetContextDmaNotifies
F	132	4	SetContextDmaColormap
F	136	120	Reserved01
F	256	4	SetVideoOutput
F	260	4	SetVideoInput
F	264	256	Reserved02
F	520	4	SetColormapStart
F	524	4	SetColormapLength
F	528	4	ColormapDirtyStart
F	532	4	ColormapDirtyLength
F	536	7400	Reserved03
S	NVDE_TEST_PARAMETERS	4	misc
F	0	4	CallBackAddress
S	Nv04dTypedef	7936	misc
F	0	4	NoOperation
F	4	4	Notify
F	8	4	StopTransferVbi
F	12	4	StopTransferImage
F	16	112	Reserved00
F	128	4	SetContextDmaNotifies
F	132	8	SetContextDmaVbi
F	140	8	SetContextDmaImage
F	148	356	Reserved01
F	504	4	SetImageConfig
F	508	4	SetImageStartLine
F	512	24	SetVbi
F	536	8	GetVbiOffsetNotify
F	544	32	SetImage
F	576	8	GetImageOffsetNotify
F	584	7352	Reserved02
S	Nv04fTypedef	7936	misc
F	0	4	NoOperation
F	4	4	Notify
F	8	4	StopTransfer
F	12	116	Reserved00
F	128	4	SetContextDmaNotifies
F	132	380	Reserved01
F	512	4	WriteSize
F	516	4	WriteAddress
F	520	4	WriteData
F	524	4	ReadSize
F	528	4	ReadAddress
F	532	4	ReadGetDataNotify
F	536	4	SetInterruptNotify
F	540	7396	Reserved02
S	__unnamed_1585	256	misc
F	0	4	size
F	4	252	monochrome
S	Nv050Typedef	7936	misc
F	0	4	NoOperation
F	4	4	Notify
F	8	4	StopTransfer
F	12	116	Reserved00
F	128	4	SetContextDmaNotifies
F	132	380	Reserved01
F	512	4	WriteSize
F	516	4	WriteAddress
F	520	4	WriteData
F	524	4	ReadSize
F	528	4	ReadAddress
F	532	4	ReadGetDataNotify
F	536	4	SetInterruptNotify
F	540	7396	Reserved02
S	Nv095Typedef	7936	misc
F	0	4	NoOperation
F	4	4	Notify
F	8	120	Reserved00
F	128	4	SetContextDmaNotifies
F	132	4	SetContextDmaA
F	136	4	SetContextDmaB
F	140	4	SetContextSurfaces
F	144	376	Reserved01
F	520	8	Offset
F	528	8	Format
F	536	8	Filter
F	544	4	Combine0Alpha
F	548	4	Combine0Color
F	552	4	Reserved02
F	556	4	Combine1Alpha
F	560	4	Combine1Color
F	564	4	CombineFactor
F	568	4	Blend
F	572	4	Control0
F	576	4	Control1
F	580	4	Control2
F	584	4	FogColor
F	588	180	Reserved03
F	768	320	Tlmtvertex
F	1088	192	DrawPrimitive
F	1280	6656	Reserved04
S	Nv07cTypedef	7936	misc
F	0	4	NoOperation
F	4	4	Notify
F	8	8	StopImage
F	16	8	StopLut
F	24	8	StopCursorImage
F	32	8	StopDac
F	40	88	Reserved00
F	128	4	SetContextDmaNotifies
F	132	8	SetContextDmaImage
F	140	8	SetContextDmaLut
F	148	8	SetContextDmaCursor
F	156	4	SetContextDmaSemaphore
F	160	336	Reserved01
F	496	4	SetSemaphoreOffset
F	500	4	SetSemaphoreRelease
F	504	4	SetOffsetRange
F	508	4	GetOffset
F	512	16	SetImage
F	528	16	SetLut
F	544	16	SetCursorImage
F	560	4	SetCursorPoint
F	564	12	Reserved03
F	576	64	SetDac
F	640	7296	Reserved04
S	Nv012Typedef	7936	misc
F	0	4	NoOperation
F	4	4	Notify
F	8	120	Reserved00
F	128	4	SetContextDmaNotifies
F	132	380	Reserved01
F	512	4	SetBeta1d31
F	516	7420	Reserved02
S	Nv084Typedef	7936	misc
F	0	7936	Reserved00
S	Nv038Typedef	7936	misc
F	0	4	NoOperation
F	4	4	Notify
F	8	120	Reserved00
F	128	4	SetContextDmaNotifies
F	132	4	SetContextDmaOverlay
F	136	4	SetContextDmaImageIn
F	140	4	SetContextDmaImageOut
F	144	368	Reserved01
F	512	4	ImageOutPoint
F	516	4	ImageOutSize
F	520	4	ImageOutFormat
F	524	4	ImageOutOffset
F	528	4	ImageInDeltaDuDx
F	532	4	ImageInDeltaDvDy
F	536	4	ImageInSize
F	540	4	ImageInFormat
F	544	4	ImageInOffset
F	548	4	ImageInPoint
F	552	4	OverlayDeltaDuDx
F	556	4	OverlayDeltaDvDy
F	560	4	OverlaySize
F	564	4	OverlayFormat
F	568	4	OverlayOffset
F	572	4	OverlayPoint
F	576	7360	Reserved02
S	Nv051Typedef	7936	misc
F	0	4	NoOperation
F	4	4	Notify
F	8	4	StopTransfer
F	12	116	Reserved00
F	128	4	SetContextDmaNotifies
F	132	380	Reserved01
F	512	4	WriteSize
F	516	4	WriteAddress
F	520	4	WriteData
F	524	4	ReadSize
F	528	4	ReadAddress
F	532	4	ReadGetDataNotify
F	536	4	SetInterruptNotify
F	540	7396	Reserved02
S	Nv04aTypedef	7936	misc
F	0	4	NoOperation
F	4	4	Notify
F	8	120	Reserved00
F	128	4	SetContextDmaNotifies
F	132	4	SetContextDmaFonts
F	136	4	SetContextPattern
F	140	4	SetContextRop
F	144	4	SetContextBeta1
F	148	4	SetContextBeta4
F	152	4	SetContextSurface
F	156	352	Reserved01
F	508	4	SetOperation
F	512	4	SetColorFormat
F	516	4	SetMonochromeFormat
F	520	244	Reserved02
F	764	4	Color1A
F	768	256	UnclippedRectangle
F	1024	244	Reserved03
F	1268	4	ClipPoint0B
F	1272	4	ClipPoint1B
F	1276	4	Color1B
F	1280	256	ClippedRectangle
F	1536	236	Reserved04
F	1772	4	ClipPoint0C
F	1776	4	ClipPoint1C
F	1780	4	Color1C
F	1784	4	SizeC
F	1788	4	PointC
F	1792	512	MonochromeColor1C
F	2304	484	Reserved05
F	2788	4	ClipPoint0E
F	2792	4	ClipPoint1E
F	2796	4	Color0E
F	2800	4	Color1E
F	2804	4	SizeInE
F	2808	4	SizeOutE
F	2812	4	PointE
F	2816	512	MonochromeColor01E
F	3328	496	Reserved06
F	3824	4	FontF
F	3828	4	ClipPoint0F
F	3832	4	ClipPoint1F
F	3836	4	Color1F
F	3840	1024	CharacterColor1F
F	4864	1008	Reserved07
F	5872	4	FontG
F	5876	4	ClipPoint0G
F	5880	4	ClipPoint1G
F	5884	4	Color1G
F	5888	2048	CharacterColor1G
S	NvGraphicsState	416	misc
F	0	4	pad0
F	0	4	alphaFunc
F	0	4	pad1
F	0	4	depthFunc
F	0	4	pad2
F	0	4	depthMask
F	0	4	pad3
F	0	4	alphaMask
F	0	4	redMask
F	0	4	greenMask
F	0	4	blueMask
F	0	4	pad4
F	4	4	pad5
F	4	4	stencilFunc
F	4	4	stencilRef
F	4	4	pad6
F	4	4	stencilMask
F	8	4	sfailOp
F	8	4	zfailOp
F	8	4	zpassOp
F	8	4	pad7
F	12	4	blendEquation
F	12	4	pad8
F	12	4	srcBlend
F	12	4	destBlend
F	12	4	pad9
F	0	16	PerFragmentState
F	0	16	pad0
F	16	16	primaryColor
F	32	12	secondaryColor
F	44	4	fogCoord
F	48	32	texCoord
F	80	12	normal
F	92	4	pad1
F	96	4	vertexWeight
F	100	28	pad2
F	128	4	pad3
F	132	4	edgeFlag
F	132	4	pad4
F	136	8	pad5
F	16	144	PerVertexState
F	0	4	vertexOffset
F	4	4	vertexFormat
F	8	4	diffuseOffset
F	12	4	diffuseFormat
F	16	4	specularOffset
F	20	4	specularFormat
F	24	4	texCoord0Offset
F	28	4	texCoord0Format
F	32	4	texCoord1Offset
F	36	4	texCoord1Format
F	40	4	normalOffset
F	44	4	normalFormat
F	48	4	weightOffset
F	52	4	weightFormat
F	56	4	fogOffset
F	60	4	fogFormat
F	64	96	__align0
F	160	64	VertexArrayState
F	0	192	primAssm
F	192	32	__align1
F	224	192	PrimitiveAssmState
S	NvS64	8	misc
F	0	4	low
F	4	4	high
S	NvNotification	16	misc
F	0	8	timeStamp
F	8	4	info32
F	12	2	info16
F	14	2	status
S	Nv05bTypedef	7936	misc
F	0	4	NoOperation
F	4	4	Notify
F	8	120	Reserved00
F	128	4	SetContextDmaNotifies
F	132	4	SetContextDmaImage
F	136	376	Reserved01
F	512	4	SetColorFormat
F	516	4	Reserved02
F	520	4	NvDummy
F	524	4	SetImageOffset
F	528	7408	Reserved03
S	_Nv066Typedef	7936	misc
F	0	4	NoOperation
F	4	4	Notify
F	8	120	Reserved00
F	128	4	SetContextDmaNotifies
F	132	4	SetContextColorKey
F	136	4	SetContextPattern
F	140	4	SetContextRop
F	144	4	SetContextBeta1
F	148	4	SetContextBeta4
F	152	4	SetContextSurface
F	156	348	Reserved01
F	504	4	SetColorConversion
F	508	4	SetOperation
F	512	4	SetColorFormat
F	516	4	SizeIn
F	520	4	DxDs
F	524	4	DyDt
F	528	4	ClipPoint
F	532	4	ClipSize
F	536	4	Point12d4
F	540	228	Reserved02
F	768	7168	Color
S	Nv05dTypedef	7936	misc
F	0	4	NoOperation
F	4	4	Notify
F	8	120	Reserved00
F	128	4	SetContextDmaNotifies
F	132	4	SetContextClipRectangle
F	136	4	SetContextPattern
F	140	4	SetContextRop
F	144	4	SetContextBeta1
F	148	4	SetContextBeta4
F	152	4	SetContextSurface
F	156	352	Reserved01
F	508	4	SetOperation
F	512	4	SetColorFormat
F	516	4	Color
F	520	8	Reserved02
F	528	4	TrianglePoint0
F	532	4	TrianglePoint1
F	536	4	TrianglePoint2
F	540	4	Reserved03
F	544	4	Triangle32Point0X
F	548	4	Triangle32Point0Y
F	552	4	Triangle32Point1X
F	556	4	Triangle32Point1Y
F	560	4	Triangle32Point2X
F	564	4	Triangle32Point2Y
F	568	200	Reserved04
F	768	128	Trimesh
F	896	128	Trimesh32
F	1024	128	ColorTriangle
F	1152	128	ColorTrimesh
F	1280	6656	Reserved05
S	Nv040Typedef	7936	misc
F	0	7936	Reserved00
S	Nv064Typedef	7936	misc
F	0	4	NoOperation
F	4	4	Notify
F	8	120	Reserved00
F	128	4	SetContextDmaNotifies
F	132	4	SetContextDmaLut
F	136	4	SetContextColorKey
F	140	4	SetContextClipRectangle
F	144	4	SetContextPattern
F	148	4	SetContextRop
F	152	4	SetContextBeta1
F	156	4	SetContextBeta4
F	160	4	SetContextSurface
F	164	572	Reserved01
F	736	4	SetColorConversion
F	740	4	SetOperation
F	744	4	SetColorFormat
F	748	4	IndexFormat
F	752	4	LutOffset
F	756	4	Point
F	760	4	SizeOut
F	764	4	SizeIn
F	768	7168	Indices
S	APU_AP_FLAGS	4	misc
F	0	4	fields
F	0	4	uValue
S	Nv002Typedef	7936	misc
F	0	7936	Reserved00
S	NV07C_ALLOCATION_PARAMETERS	16	misc
F	0	4	version
F	4	8	pInfo
F	12	4	logicalHeadId
S	Nv04ControlDma	8192	misc
F	0	64	Ignored00
F	64	4	Put
F	68	4	Get
F	72	8	Ignored01
F	80	4	StallNotifier
F	84	4	StallChannel
